"Batch_Number","total_cost","birds_sold","cost_per_bird"
"10",7616500,667,11419.0404797601
"11",3020200,302,10000.6622516556
"12",3543600,349,10153.5816618911
"13",4e+06,352,11363.6363636364
"14",4362100,389,11213.6246786632
"4",3114000,245,12710.2040816327
"5",2417000,200,12085
"6",3877700,346,11207.225433526
"7",4525500,336,13468.75
"8",3965500,300,13218.3333333333
"9",6928000,553,12528.0289330922
