"Batch_Number","Cost of Goods Sold (COGS)","Operating Expenditure (OPEX)","Revenues","Total_Cost","Net_Profit"
"Batch 4",2616500,497500,511000,3114000,-2603000
"Batch 5",1072000,86000,0,1158000,-1158000
"Batch 6",2387000,256500,0,2643500,-2643500
"Batch 7",1561000,69000,0,1630000,-1630000
