"Select.Batch.Number","Capital Expenditure (CAPEX)","Cost of Goods Sold (COGS)","Operating Expenditure (OPEX)","Revenues","Net_Profit"
"Batch 3",15000,719000,245000,2855000,1891000
"Batch 4",35000,2369000,485500,0,-2854500
"Batch 5",412000,675000,86000,0,-761000
"Batch 6",134000,1795000,248500,0,-2043500
"Batch 7",0,1120000,60000,0,-1180000
